Day	Start Time	End Time	Room	Genra	Panel Title	Panel Description	Panel participants
Sat	02:00:00 PM	03:00:00 PM	P1	AV	Wonder Twin Science Powers Activate!	Dr. Jim and Bridget Landry sharing the stage at last, by popular demand! Learn about their ongoing projects and research!	Dr. Jim Kakalios, Bridget Landry
Sat	03:30:00 PM	04:30:00 PM	101	Proj	Scrapbooking	Share scrapbooking techniques and learn the in's and out's of one of the fastest growing hobbies in the United States. There are many creative ways to display your CONvergence photo memories.	Teri Blauer, Geoff Williams
Sat	03:30:00 PM	04:30:00 PM	A2	Gaming	Console Wars II: The Sequel	We're another year into the life-cycles of the X-Box 360, Nintendo Wii, and Playstation 3. Have there been any big surprises over the past year? How will Blu-Ray victory, the Red Ring of Death, direct downloads, and the casual gaming market influence console choice? Is it high-time everyone just goes multi-console and buys all three?	Matt Everhart, Scott Smith
Sat	03:30:00 PM	04:30:00 PM	A3	Comics	Non-Superhero Comic Books	Share some of your favorite comic books that don't involve super heroes or super-powered characters likeY: The Last Man and others.	Terry Beatty, David Emerson, Patrick Fisher, Jonathan Palmer, Lars Pearson, Damian Sheridan
Sat	03:30:00 PM	04:30:00 PM	A4	HotDish	What Does Franchise Continuity Mean to You?	Continuity, or what is canon, is a very personal thing. - Which Buffy Season 8 do you count	the comic version, the novels, or both? - Do you consider animated Trek the last two years of the 5-year mission?- - Where do Doctor Who audios fit in? - What about the Babylon 5 comic books or Star Wars video games? Or does it even matter at all? - Remember - no one isright orwrong - come and share some of your more inventive and interesting canon theories in this respectful round-table discussion.
Sat	03:30:00 PM	04:30:00 PM	A6	Lit	Influence of Classic Lit	How does classic literature tie into and influence speculative fiction?	Matthew Lee Davis, Ann Laabs, Doug Texter, Heidi Waterhouse, Karl Wolff
Sat	03:30:00 PM	04:30:00 PM	A7	Science	Engineering Hollywood Robots	When trying to build a famous robot like Robbie, what can actually be achieved, what's infeasable, and what can be improved upon? Sponsored by the Twin Cities Robotics Club.	Richard Caylor, Christian Colquhoun, William Crolley, Terry Faust, Bill McTeer, Bob Odegard, Michael Walsh
Sat	03:30:00 PM	04:30:00 PM	A8	Proj	Fun Tai Chi Games for All Ages	This workshop teaches the basics of tai chi through a series of simple games. Each of these games are cooperative in nature, and leads to the true essence of taiji which is to become one with your partner. This workshop also demonstrates how to adapt each game to everyone's ability. Bring your sense of humor and be be prepared to have a blast!!	Jose' Figueroa
Sat	03:30:00 PM	04:30:00 PM	Bloom	Movies	Kingdom of the Crystal Skull	The man in the hat is back. Was the latest Indiana Jones Adventure everything we were hoping or did Spielberg pull a Lucas on us? Dust off your bullwhip and discuss any Indy topics that strike your fancy!	Romeo Azar, Mike Helde, Troy LaFaye, Dan Wallace, Tim Wick
Sat	03:30:00 PM	04:30:00 PM	Edina	TV	Reimagining of TV Shows	It seems like the movie-remake craze of the past several years has filtered down to our television sets. What makes a remake successful? When should a show be rebooted (BSG) vs. making it a continuation (Trek: Next Gen, Doctor Who)?	Derek Mahr, Joan Marie Verba
Sat	03:30:00 PM	04:30:00 PM	Kr	Science	Where Should We Go in Space?	Should we emphasize human or robotic expeditions? How should we replace the shuttle? Should we expand on the space station? Should we go back to the Moon and build a permanent outpost? Should we make a human expedition to Mars? Should we search Europa's ocean for life? And? Or?	Paul F. Richards
Sat	03:30:00 PM	04:30:00 PM	LL	Lit	Broad Universe Rapidfire Reading	This is a fiction reading by members of Broad Universe, an organization which promotes the work of women SF&F writers.	Catherine Lundoff, Sharon K. Richards, Ruth Souther, Kathryn Sullivan
Sat	03:30:00 PM	04:30:00 PM	P1	AV	Science of Effects	Just how much does science factor into set and effects designs? Is there a point where science is thrown out to achieve the 'cool' factor?	Crist Ballas, Daren Dochterman, Andrew Probert, Vincent Truitner
Sat	03:30:00 PM	04:30:00 PM	Sign	Auto	Signing w/Peter & John	Signing/Autographing	John Kovalic, Peter Mayhew
Sat	05:00:00 PM	06:00:00 PM	101	Proj	Caped Wonder!	Create your own superhero! First, think of what your superhero's powers and training are. Then create a name for your character. Finally, design a symbol, make a cape, and even a mask.	Rachael Salisbury
Sat	05:00:00 PM	06:00:00 PM	A2	Gaming	Kovalic!	Spend an hour with John Kovalic, a game designer and illustrator. Maybe you'll even learn the secret history of Apples to Apples.	John Kovalic, Video Team
Sat	05:00:00 PM	06:00:00 PM	A3	Comics	CLAMP	A discussion of the works of Japan's premiere women's comic book/manga collective.	Melissa Gregory, Catherine Lundoff, Rebecca Marjesdatter
Sat	05:00:00 PM	06:00:00 PM	A4	Science	Raptor Center	Come and look at birds of prey up-close and learn about the animals. Sponsored by MISFITS.	Amber Burnett, Larry Dixon, Mercedes Lackey, Erin Lorenz, Sharon Steitler
Sat	05:00:00 PM	06:00:00 PM	A6	Lit	The Good, the Bad, and the *SHUSH*!	How accurately have librarians been portrayed in books, comics, television, and movies? Meet some real-life librarians and get their take on popular culture's interpretation of their livelihood.	Jenni Klumpp, Kevin McIntyre, Greg Prickman, Lynne Thomas, Jody Wurl
Sat	05:00:00 PM	06:00:00 PM	A7	Science	Moonshot in '69: Wha' Happened?	Feel like interest in manned space exploration has taken one giant leap backwards since the 1960's? What can be done to get the public excited for space exploration? Do we need an imminent natural disaster calling for planetary evacuation to get butts moving? Or just another Cold War?	Ben Huset, Bridget Landry, G. David Nordley, Chuck Waibel
Sat	05:00:00 PM	06:00:00 PM	A8	HotDish	Here Be Dragons...	Dragons exist in many mythologies and cultures the world over. Come and learn about the different myths and legends surrounding these creatures.	Kenneth Hite, Philip Kaveny, Jason D. Wittman
Sat	05:00:00 PM	06:00:00 PM	Bloom	Movies	Spoiler Alert: The Rumor Mill	Let's roll up the sleeves, get our hands dirty, and dish the dirt on upcoming features. If you don't like spoilers and speculation then now would be a good time to head to the project room.	Romeo Azar, Derek Mahr
Sat	05:00:00 PM	06:00:00 PM	Edina	TV	Doctor Who by Decade: The Eighties	Covering the 1980's era Dr. Who, this is the third in a series of four panels exploring the rich and varied history of the classic British science-fiction series, focusing on the Davison, C. Baker, and McCoy eras. It probably would have been easier to say the JNT era, huh?	Michael Lee, Charlie Paulsen, Lars Pearson, Michael Scott Shappe, Michael D. Thomas
Sat	05:00:00 PM	06:00:00 PM	Kr	Lit	SF Writing Groups: The 2008 Scene	This annual gathering allows representatives of writing groups specializing in science fiction and fantasy to report on how their groups function, and gives groups that are looking for new members a chance to connect with individuals who are interested in joining an SF writing group, and/or gives individuals a chance to put their heads together and start a new writing group. Sponsored at a local con since 1986 (formerly Minicon, now CONvergence) by the Minnesota Imaginative Fiction Writers' Alliance.	Eric M. Heideman
Sat	05:00:00 PM	06:00:00 PM	P1	AV	Ten Years with Connie: The Art of CONvergence	Connie creator Christopher Jones shares some highlights of 10 years of CONvergence artwork, and talks about the creation of Connie, Professor Maxwell Misfittle, and other CONvergence artwork and characters.	Christopher Jones
Sat	05:00:00 PM	06:00:00 PM	Sign	Auto	Signing w/David	Signing/Autographing	David Weber
Sat	06:30:00 PM	09:00:00 PM	Bloom	HotDish	Sci-Fi Summit: The Mega-Panel	We've got a panel so broad, so deep, and so miscellaneous in focus, we've had to give it not one, but two time slots. Join us for an extended mega-panel that covers sci-fi and fantasy trends in the past ten years in books, movies, and television.	Romeo Azar, Christa Dickson, Ben Ellis, Lars Pearson, Dan Wallace
Sat	07:00:00 PM	09:00:00 PM	MnStg	MainStg	Masqurade	Our annual masqurade.	
Sat	08:00:00 PM	02:00:00 AM	Kr	HotDish	A Party for Readers and Viewers: The Silver Edition	Sponsored by Second Foundation, a Twin Cities speculative fiction book-discussion group - whose members are also film buffs - that has met regularly since 1/29/1983. Goes from 8 PM until 2 AM.	Eric M. Heideman
Sat	09:00:00 PM	11:30:00 PM	A4	Arts	Art Auction	Our Annual Art Auction.	Larry Dixon, Melissa Kaercher, Charles Piehl
Sat	09:30:00 PM	10:30:00 PM	101	Gaming	Matrix Tag (14 and Up)	Join the Revolution…or fight it. Do you have what it takes to help Neo win the war for Zion ? Or will you support Agent Smith in his quest to subjugate the humans? In Matrix Tag, two teams vie for power over the fate of the human race. Players choose the roles of Agent Smith, Neo, Morpheus, Trinity, Agent and Zionist. Any number of people can play, joining in and leaving at any time. Players are free to attend other programming during the Convention, as they seek out Agents and Zionists and gain strength for their team.	Jack Barker, Shannon Green, Rich Miller
Sat	09:30:00 PM	02:00:00 AM	A2	Arts	Late Night Accoustic Music (Saturday)	Space reserved for late night accoustic music collaboration. Noise restrictions until midnight because of other panels.	Becca Leathers
Sat	09:30:00 PM	10:30:00 PM	A3	Comics	Previously... in the Whedon-verse	Buffy, Angel, and Firefly have gotten a new lease on life in a comic book medium. Come and discuss the recent Firefly mini-series, Buffy Season Eight, and Angel Season Six.	Dave Benhart, Mark Goldberg, Charlotte Nickerson
Sat	09:30:00 PM	10:30:00 PM	A6	Lit	Speculative Fiction and Sexuality	How does Speculative Fiction approach sex and sexuality? Should there be more examples of different kinds of sexuality identity and orientation than what we're given in speculative literature? What are some good examples of books that have done it right?	Bob Alberti, Eve Cain, Cabell Gathman, Hilary Moon Murphy, Damian Sheridan, Doug Texter, Karl Wolff
Sat	09:30:00 PM	10:30:00 PM	A7	Science	Biology of Aliens	A semi-serious take on the biology of aliens. How might they function? What would their organs be like and would they be carbon-based life forms?	Craig Finseth, Lori Fischer, Hank Lederer, G. David Nordley
Sat	09:30:00 PM	10:30:00 PM	A8	Arts	Overuse of Iconic Sci-Fi and Fantasy Imagery?	Just how many prints of unicorns, fairies, and dragons do we need? What are some underused imagery you'd like to see drawings or paintings of instead?	Chris Pasquarette, Laramie Sasseville
Sat	09:30:00 PM	10:30:00 PM	Bloom	Movies	Comics as Movies	Discuss the recent slate of summer comic book movies including Iron Man, Incredible Hulk, The Dark Knight, and others. How successful were they (or do you think they will be) and what did they get right/wrong compared to the source material? How willThe Marvel Masterpan turn out over the next few years?	Britt Aamodt, Terry Beatty, David Emerson, Taylor Kent, Jonathan Palmer, Dan Wallace, Greg Weisman
Sat	09:30:00 PM	10:30:00 PM	Edina	TV	Pushing Daisies	Bring a piece of pie and curl up on a chair as we discuss what is quite possibly one of the most interesting new series of the past decade. Just don't accidentally touch your neighbor!	Dana M. Baird, Jenni Klumpp
Sat	11:00:00 PM	11:59:00 PM	A3	Comics	Comics for Mature Audiences	There are numerous comics aimed at a more adult audience that deal with mature themes of violence and sexuality. What are some of the best in this genre? Which publishers have been neglecting their mature lines?	Eve Cain, Hank Luttrell, Jennifer Menken, Damian Sheridan, Greg Weisman
Sat	11:00:00 PM	11:59:00 PM	A6	Lit	Urban Fantasy	The borders of faerie have moved from pastoral England to modern cities. What is the appeal of urban fantasy? Who writes the best stuff?	Kenneth Hite, Kelly McCullough, Michael Merriam, Juanita Nesbitt, Adam Stemple, Jody Wurl
Sat	11:00:00 PM	11:59:00 PM	Edina	TV	Cool Britannia	Doctor Who isn't the only British import worth checking out. There has been a resurgence of sci-fi in the UK recently. Come learn about other series worth your while, like Primeval, Life on Mars, Hyperdrive, Jekyll, and many others.	Ben Ellis, Brian Jonas, Michael Lee, Michael Zecca
Sat	11:00:00 PM	11:59:00 PM	LL	Lit	Saturday Night Bedtime Stories with the 'Pods	Escape Pod, Pseudo Pod, and Pod Castle ... three weekly audio casts from the Escape Artists! Come and listen to a bed-time story with some of the latest and greatest of these audio giants of Science Fiction, Horror, and Fantasy! Join us on the 22nd floor in 2201 for back-to-back stories of speculation, fantasy, and fun. Wear your fluffy bunny slippers and bathrobe, if you like ... just come prepared to listen to some really great tales of modern SF!	Dave Rust
Sat	11:00:00 PM	11:59:00 PM	P1	AV	Killer B's Improv Movie Show	Returning for its second year, the Killer B's Improv Movie Show will give new life to those crappy B-movies of yesteryear. In front of your eyes, our team of experts will create brand-new dialogue (and a whole new Theremin score!) for some of the worst film clips ever placed on celluloid. The catch? They've never seen the movies before! It's a movie and live improv comedy at the same time.	Jerry Belich, Kelvin Hatle, Melissa Kaercher, Scott Keever, Joe Scrimshaw, Tim Uren, Wally Wingert
Sun	09:30:00 AM	10:30:00 AM	101	Proj	Storytime	Caryn's annual storytime featuring reading aloud, coloring books, and surprises!	Caryn Lengkeek
Sun	09:30:00 AM	10:30:00 AM	A2	Gaming	Game Mastering	Being a successful game or dungeon-master doesn't necessarily come easy. What does it truly take to run a successful and memorable campaign? What happens when you've thought of ten ways to solve a problem and your players pick number eleven? How can you go about leaving your players satisfied and wanting more?	Bob Alberti, Kenneth Hite, Rob Johnson, Rachel Kronick
Sun	09:30:00 AM	10:30:00 AM	A3	Arts	Crafty Geek Meet Up	Knit, sew, scrapbook, bead, or just sit and chat about your favorite projects. Learn a little about the local MISFITS crafty club while you're at it!	Wendy Bock, Jodie Gustafson
Sun	09:30:00 AM	10:30:00 AM	A4	HotDish	Kenpo Martial Arts	Join us on Sunday morning for a fitness panel structured around Ed Parker's Kenpo System (a martial arts discipline). Sweat a bit, learn a little self-defense, and see some cool martial arts stuff inspired from movies.	John Shea
Sun	09:30:00 AM	10:30:00 AM	A6	Lit	Hogwarts Graduation!	The seventh (and as of this writing) final novel in the Harry Potter saga has been out for about a year, but there is still plenty to talk about!	Ryan Frank, Mara Kapp, Amanda Newman, Chris Stenzel, Geoff Williams, Gina Williams
Sun	09:30:00 AM	10:30:00 AM	A7	Science	Yes Virginia, There Are Still Radio Hams!	Ham-radio has been around for many years. Some might even call it a precursor to the internet chat-room. What's the status of ham-radio in America and if you are interested in pursuing this hobby, how do you get started?	Jay Curry, Ed Eastman, Ben Huset
Sun	09:30:00 AM	10:30:00 AM	Bloom	Movies	In Through the Out Door: A History of Special Effects	From the beginnings in films like King Kong and Metropolis to modern-day blockbusters, special effects have enhanced the movie-going experience. Join us on this fantastical voyage.	Romeo Azar, Crist Ballas, Christian Colquhoun, Mark Goldberg, Gordon Smuder
Sun	09:30:00 AM	10:30:00 AM	Edina	TV	Sarah Jane Adventures	It may be the least talked about/acknowledged of the current run of Doctor Who spin-offs, but it's definitely worth discussion. Is The Sarah Jane Adventures far better than it has any right to be?	Rob Callahan, Heidi Johnson, Steven Manfred, Lynne Thomas, Michael D. Thomas
Sun	11:00:00 AM	12:00:00 PM	A2	Gaming	Local Gaming	How does one go about finding a local group of geeks to game with on a regular basis? Come learn about the MISFITS of Gaming club and other groups in the area.	Rachel Kronick, Dave Rust
Sun	11:00:00 AM	12:00:00 PM	A3	Comics	Comics Through Their Ages	What defines the Golden Age of Comics? What about the Silver Age? What age are we in now? Perhaps the lines between the ages are a little more blurred than you think...	Roy C. Booth, Mark Evanier, Jonathan Palmer, Dan Wallace, Bernie Wrightson
Sun	11:00:00 AM	12:00:00 PM	A4	HotDish	Anime: An Industry on the Brink	With the fall of Geneon and proliferation of fan-subs, the future of Anime as a viable commercial medium may be jeopardy. What steps must the industry take to remain successful? How can loyal Otaku do their part to keep Anime alive and well?	Scott K. Jamison, Brian Jonas, Jo Thomsen, Matt Weinberg
Sun	11:00:00 AM	12:00:00 PM	A6	Lit	Sci-Fi and Fantasy Essentials	Let's see if we can come up with a top ten list formust-read sci-fi books and another top ten list for fantasy novels. What are the Foundations to become a literate sci-fi geek?	Bob Alberti, Windy Bowlsby, Rob Johnson, Adam Stemple, Jody Wurl
Sun	11:00:00 AM	12:00:00 PM	A7	Science	Current State of A.I.	How far off is SkyNet? Do we need to start worrying about the Internets taking over? What are some positive advances in artificial intelligence development?	William Crolley, Aaron Vander Giessen
Sun	11:00:00 AM	12:00:00 PM	Bloom	Movies	Bollywood Sci-fi	What's coming out of India that has a distinct sci-fi or fantasy flavor?	Kenneth Hite
Sun	11:00:00 AM	12:00:00 PM	Edina	TV	I Miss You Cupcake!	Do you miss Invader Zim? Does your love of Gir know no bounds? Bask in the bacon-covered love of this series cancelled before its time.	Lori Fischer, Marie Hulslander, Tracie Peters, Michael Scott Shappe
Sun	11:00:00 AM	12:00:00 PM	Kr	Movies	Chick Flicks: A Confessional	Two (or more) men, typically identified as fans of John Wayne and Bruce Lee, admit to their favorite movies and performers among so-calledwomen's pictures: screwball/romantic comedies, musicals, suspense, soap operas: Bette Davis, Joan Crawford, Lana Turner, Elizabeth Taylor, Meg Ryan, Julia Roberts, etc.	David Christenson, Eric M. Heideman
Sun	11:00:00 AM	12:00:00 PM	LL	Lit	Kelly McCullough Reading	Join Kelly McCullough for a reading from one of his works.	Kelly McCullough
Sun	11:00:00 AM	12:00:00 PM	P1	Arts	Iron Artist	Come watch as our very own Iron Artists battle to bring life to the Secret Ingredient. They will be given a scene and an hour in which to bring life to their creation, engaging in a frenzied battle to win the people's acclaim forever. Who's art scene will reign supreme?	Louis Frank, Kelvin Hatle, Eryn Hildebrand, ASL Interpreter, Christopher Jones, Melissa Kaercher, Perrin Klumpp, John Kovalic, Jennifer Menken, Amanda Shuckman, Gordon Smuder, Video Team, Matt Waterhouse
Sun	11:00:00 AM	12:00:00 PM	Sign	Auto	Signing w/Andrew & David	Signing/Autographing	Andrew Probert, David Weber
Sun	12:30:00 PM	01:30:00 PM	A2	Gaming	Thrown a Controller or Manual Across the Room Lately?	What's happened to your favorite game series, franchise, or genre? Has it gotten to the point where you don't even want to pick up a D20 or controller anymore? Are there series that have constantly improved over time?	Shawn Brandvold, Sarah Hertz, Stephan Stomberg
Sun	12:30:00 PM	01:30:00 PM	A3	Comics	Material Adaptation	What's the writing process like for adapting material from one medium (like a movie script) to another (like a novel). What about using licensed characters that someone else created?	Roy C. Booth, S.D. Hintz, Vincent Truitner, Greg Weisman, Marv Wolfman
Sun	12:30:00 PM	01:30:00 PM	A4	HotDish	Are Social Subcultures in Fandom Still Relevant?	Fandom has always had it's subcultures, but does fandom really represent the multiculturalism we pride ourselves on? Is the 'melting pot' metaphor applicable to fandom? Has tolerance and understanding of minorities truly migrated to fandom? If so, are social subcultures like feminist, gay, disabled, and other minority fandom cultures still relevant? New ideas and technologies have migrated from SF into society, but are minorities truly represented inmain-stream SF&F?	Joe Agee, Andrew Berthke, Don Kaiser, Rachel Kronick, Jen Manna, Claudia Slovacek
Sun	12:30:00 PM	01:30:00 PM	A6	Lit	Subverting Tropes	Discuss the basic tropes of SF/F/H and how to subvert, twisted, and otherwise stand them on their ear.	Rob Callahan, Damian Sheridan, Adam Stemple, Karl Wolff
Sun	12:30:00 PM	01:30:00 PM	A7	Science	Weaponry of Star Trek	From assault phasers to quantum torpedoes, disrupters to anti-matter charges, discuss the many weapons and defenses of Star Trek and determine their real-world feasibility.	Michael Beitscher, Seth Chmelik, Dr. Jim Kakalios, George Richard
Sun	12:30:00 PM	01:30:00 PM	Bloom	Movies	Star Wars with Peter Mayhew	Join us for an informative Q&A with Peter Mayhew.	Peter Mayhew, Video Team
Sun	12:30:00 PM	01:30:00 PM	Edina	TV	The Venture Bros.	How can one single animated series be so awesome? Discuss before the Monarch brings furious anger down upon you! Maybe we'll even figure out all the hidden secrets of Dr. Girlfriend while we're at it.	Chris Pasquarette, Michael D. Thomas
Sun	12:30:00 PM	01:30:00 PM	Kr	Comics	Gold Knight: The Lives of Iron Man	Since getting hit by shrapnel in Viet Nam in 1962, billionaire industrialist-inventor Anthony Stark has built innumerable suits of Iron Man armor, helped found the Avengers, palled around with a Thunder God, dated every Marvel woman except May Parker, struggled with alcoholism, been possessed by Kang the Conqueror, died about three times, been replaced in the suit by best friend Rhodey and an alternate universe teen version of himself, replaced Rummy as Secretary of Defense, lead the winning side in Marvel's super hero Civil War, and now serves as Director of Shield. Something about Tony Stark makes him continue to fascinate through brilliant story arcs and ludicrous ones. Let's talk about who, what, where, when, and why.	Eric M. Heideman, Jonathan Palmer
Sun	12:30:00 PM	01:30:00 PM	LL	Lit	Geeks Read Panel	Join the MISFITS club Geeks Read for our monthly book discussion. Learn about this fun sci-fi/fantasy book club and how you can join and get involved.	Jodie Gustafson, Alicia Lemunion
Sun	12:30:00 PM	01:30:00 PM	Sign	Auto	Signing w/ Larry & Mercedes	Signing/autographing	Larry Dixon, Mercedes Lackey
Sun	02:00:00 PM	03:00:00 PM	A2	Gaming	Everything Old is New Again	Nintendo's Virtual Console service, Playstation Network, Xbox Live, and other emulators have created a great interest in retro video games. What are your favorites and how do you take your retro-interest to the next level with constructing MAME consoles?	Nessa Fedde, Jesse Richardson, Tim Wilsie
Sun	02:00:00 PM	03:00:00 PM	A3	Comics	Women and Comic Books	Yes we read them! Why don't the comic companies realize that they write for an audience that includes women? Come discuss your favorite comics, characters, and creators and what needs to be done in the industry to help execs realize the market niche they're missing.	Cynthia Booth, Alexandra Howes, Melissa Kaercher
Sun	02:00:00 PM	03:00:00 PM	A4	HotDish	At-Con Post Mortem	So, how did you like year ten of the con? Tell the folks in charge - the good, the bad, and the ugly. (Hopefully it's mostly good!) Come and meet the new Events Division director as well!	Windy Bowlsby, Christopher Jones, Perrin Klumpp, Michael Lee, Jeremy Stomberg, Pat Wick, Tim Wick, Ishmael Williams
Sun	02:00:00 PM	03:00:00 PM	A6	Lit	Books You've Thrown Across the Room!	The title says it all. What has made you chuck a book across a room? Watch out for flying literature!	Mariah Fryer, Jenni Klumpp
Sun	02:00:00 PM	03:00:00 PM	A7	Science	Mythbusting!	Mythbusters has a hardcore geek/science audience. From their movie-themed James Bond and Superhero specials to busting urban myths, what do you like about the show and what are some myths you'd like them to take a crack at?	Romeo Azar, Jay Curry
Sun	02:00:00 PM	03:00:00 PM	Edina	TV	Doctor Who by Decade: The Nineties	Covering the 1990's era Dr. Who, this is the fourth in a series of four panels exploring the rich and varied history of the classic British science-fiction series, focusing on the expanded universe (audios, books, comics) and the 1996 McGann TV Movie.	Heidi Johnson, Lars Pearson, Michael D. Thomas
Sun	02:00:00 PM	03:00:00 PM	Kr	Lit	Specters, Shades and Ectoplasm	The ghost story is a classic tale that never seems to die out. What's the nature of the appeal of a good spooky tale about the restless dead? What do hauntings say about us? Let's talk about the good, the bad and the ugly portrayals of ghosts in genre fiction.	Jerrod Balzer, S.D. Hintz, Kenneth Hite, Catherine Lundoff
Sun	02:00:00 PM	03:00:00 PM	LL	Lit	Karl Wolff Reading	Join Karl Wolff for a reading from one of his works.	Karl Wolff
Sun	02:00:00 PM	03:00:00 PM	Sign	Auto	Signing w/Dr. Jim & Greg	Signing/Autographing	Dr. Jim Kakalios, Greg Weisman
Sun	03:30:00 PM	04:30:00 PM	A2	Gaming	Are You Ready to Rock?	Rhythm-based games like Guitar Hero, Rock Band, Elite Beat Agents, and others have become very popular in the last few years. Is there still room for classics like DDR? Where do you see this trend going in the future and is there any crossover with wanting to learn real-life instruments?	Matt Everhart, Mariah Fryer, Clay Lamkin
Sun	03:30:00 PM	04:30:00 PM	A3	Comics	DC and Marvel Updates	Been away from comics for a while? Come and find out what's been going on in the DC and Marvel universes. How are your favorite characters faring? The first half of the hour is devoted to DC and the second half to Marvel.	Michael Lee, Jonathan Palmer, Dan Wallace
Sun	03:30:00 PM	04:30:00 PM	A4	HotDish	Making TheYear-Round Convention a Reality	The parent organization behind CONvergence also runs many other events and clubs year-round under the banner of MISFITS, including Trivia Contests, Scavenger Hunts, and Geek Proms. The fun doesn't have to stop on Sunday, you know!	Dave Benhart, Jodie Gustafson, Elliott James, Thomas Keeley, Peter Verrant
Sun	03:30:00 PM	04:30:00 PM	A6	Lit	Meet a Librarian!	We've managed to round up a few librarians to answer your questions about the profession. What's the day-to-day grind like? If you are interested in becoming a librarian or just learning about the occupation, this panel is for you!	Jenni Klumpp, Rebecca Marjesdatter, Kevin McIntyre, Hilary Moon Murphy, Greg Prickman, Lynne Thomas
Sun	03:30:00 PM	04:30:00 PM	A7	Science	Ultimate Home Theatre	Want to start investing in and constructing a future-proof home entertainment center? What equipment is a must, what will be outdated shortly, and what can't you live without? If you want to learn to tell your 1080P's from your Progressive Scans, this is the place to start.	Hank Lederer, Drew Youngdahl
Sun	03:30:00 PM	04:30:00 PM	Edina	TV	TV Shows on DVD: Season Seven	Join us for our annual review of the best and worst of TV Shows on Shiny Disc. We're now in our seventh year (on the 'air' as long as Next Gen and DS9, whoo!) Will our panel become 'TV Shows on Blu-Ray' next year? Signs point to yes!	David Margosian, Matt Savelkoul, Wally Wingert
Sun	03:30:00 PM	04:30:00 PM	Kr	HotDish	Lizards, Reptiles, and Amphibians in Fact, Folklore, Fiction, and Film	We continue our series of Bio-Horror panels about scary critters (previously we've surveyed bats, bees & wasps, apes, ants, and spiders). This time we'll consider both little criters such as frogs and toads as well as big critters both real (T-Rex) and surreal (Gojirah!)	Eric M. Heideman, Melissa Kaercher
Sun	03:30:00 PM	04:30:00 PM	Sign	Auto	Signing w/ Marv, Bernie, & Len	Signing/Autographing	Len Wein, Marv Wolfman, Bernie Wrightson
Sun	05:00:00 PM	06:00:00 PM	MnStg	MainStg	Closing Ceremonies	Closing Ceremonies	Trace Beaulieu, Windy Bowlsby, Christian Colquhoun, Larry Dixon, Daren Dochterman, Mark Evanier, Kenneth Hite, ASL Interpreter, Christopher Jones, Dr. Jim Kakalios, Perrin Klumpp, Harry Knowles, Jay Knowles, John Kovalic, Mercedes Lackey, Bridget Landry, Michael Lee, Peter Mayhew, Robert Meyer Burnett, Andrew Probert, Jeremy Stomberg, Video Team, Vincent Truitner, David Weber, Len Wein, Greg Weisman, Pat Wick, Tim Wick, Ishmael Williams, Wally Wingert, Marv Wolfman, Bernie Wrightson
Sun	07:30:00 PM	01:30:00 AM	Kr	HotDish	Diversicon Party	Hang out with some volunteers for this multicultural, multimedia speculative fiction convention, the 16th edition of which will be held August 1-3 in the Holiday Inn Metrodome. Party goes from 7:30 pm until 1:30 am.	Eric M. Heideman
Mon	12:00:00 AM	01:00:00 AM	MnStg	MainStg	Michael Sheard Five Day Memorial Panel	To end our convention we remember and celebrate the lives of all of our friends who have left us over the last ten years. And yes, the timing of this panel makes the con officially 5 DAYS!	Anton Petersen, Video Team, Tim Wick
